"item","label","kind","type","hand","jobK","jobW","jobE","jobM","jobD","jobS","jobR","lv","speed","skill","min","max","magic","pet","noroi","exmin","exmax","exmagic","expet","exnoroi","setmin","setmax","setmagic","setpet","setnoroi","str","inc","agi","inc","vit","inc","ene","inc","rec","inc","exstr","inc","exagi","inc","exvit","inc","exene","inc","exrec","inc","ex_en_type","option",
"武器","ダガー","通常","剣","片手",1,1,1,1,1,1,1,0,20,"-",3,7,-1,-1,-1,33,37,-1,-1,-1,,,,,,25.32,5.42,0,-1,,,-1,-1,,,70.32,5.42,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","クリス","通常","剣","片手",1,1,1,1,1,1,1,0,50,"-",6,11,-1,-1,-1,36,41,-1,-1,-1,,,,,,27.14,3.62,27.14,3.62,,,-1,-1,,,57.14,3.62,57.14,3.62,,,-1,-1,,,0,"攻撃",4
"武器","レイピア","通常","剣","片手",1,0,1,1,1,1,0,0,40,"-",9,15,-1,-1,-1,39,45,-1,-1,-1,44,50,-1,-1,-1,33.46,4.54,30.76,3.62,,,-1,-1,,,71,4.5,60.76,3.62,,,-1,-1,,,0,"攻撃",4
"武器","バスタード","通常","剣","片手",1,0,0,1,1,0,0,0,30,"飛燕斬り",12,18,-1,-1,-1,42,48,-1,-1,-1,,,,,,41.59,5.41,34.38,3.62,,,-1,-1,,,86.59,5.41,64.38,3.62,,,-1,-1,,,0,"攻撃",4
"武器","ムラサメ","通常","剣","片手",1,0,0,1,1,0,0,0,35,"牙突",16,26,-1,-1,-1,46,56,-1,-1,-1,,,,,,58.34,7.22,39.14,3.62,,,-1,-1,,,118.34,7.22,69.14,3.62,,,-1,-1,,,0,"攻撃",4
"武器","グラディウス","通常","剣","片手",1,0,1,1,1,0,0,0,20,"牙突",20,30,-1,-1,-1,50,60,-1,-1,-1,,,,,,86,9.9,0,-1,,,-1,-1,,,168.05,9.99,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","ファルシオン","通常","剣","片手",1,0,0,1,1,0,0,0,25,"飛燕斬り",24,34,-1,-1,-1,54,64,-1,-1,-1,,,,,,106.38,10.81,0,-1,,,-1,-1,,,196.38,10.81,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","ラムダオ","通常","剣","片手",1,0,0,1,1,0,0,0,20,"飛燕斬り",30,40,-1,-1,-1,60,70,-1,-1,-1,,,,,,137,11.7,0,-1,,,-1,-1,,,234.45,11.71,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","ルーンブレード","通常","剣","片手",1,1,1,1,1,0,0,0,30,"真空斬り",36,47,-1,-1,-1,66,77,-1,-1,-1,,,,,,106.34,7.22,74,4.5,,,-1,-1,,,166.34,7.22,111.46,4.54,,,-1,-1,,,0,"攻撃",4
"武器","ダブルブレード","通常","剣","片手",1,0,1,1,0,0,0,0,30,"真空斬り",48,56,-1,-1,-1,78,86,-1,-1,-1,,,,,,120.68,6.33,120.68,6.33,,,-1,-1,,,173.03,6.33,173.03,6.33,,,-1,-1,,,0,"攻撃",4
"武器","稲妻の剣","通常","剣","片手",1,0,1,1,0,0,0,0,30,"真空斬り",59,67,-1,-1,-1,89,97,-1,-1,-1,96,104,-1,-1,-1,179,8.15,108.46,4.54,,,-1,-1,,,246.78,8.11,146,4.5,,,-1,-1,,,0,"攻撃",4
"武器","破壊の剣","通常","剣","片手",1,0,0,1,0,0,0,0,35,"真空斬り",82,90,-1,-1,-1,112,120,-1,-1,-1,,,,,,413.59,14.41,167.59,5.41,,,-1,-1,,,533.59,14.41,212.59,5.41,,,-1,-1,,,0,"攻撃",4
"武器","アークエンジェルソード(旧)","通常","剣","片手",1,0,0,1,1,0,0,0,35,"真空斬り",120,130,-1,-1,-1,120,130,-1,-1,-1,,,,,,381.14,12.62,149,4.5,,,-1,-1,,,381.14,12.62,149,4.5,,,-1,-1,,,0,"攻撃",4
"武器","アークエンジェルソード(新)","通常","剣","片手",1,0,0,1,1,0,0,0,45,"真空斬り",220,230,-1,-1,-1,220,230,-1,-1,-1,,,,,,381.14,12.62,149,4.5,,,-1,-1,,,381.14,12.62,149,4.5,,,-1,-1,,,0,"攻撃",4
"武器","ナイトブレード","通常","剣","片手",1,0,0,0,0,0,0,0,35,"真空斬り",107,115,-1,-1,-1,131,139,-1,-1,-1,,,,,,507.1,10.45,179.58,3.42,,,-1,-1,,,594.1,10.45,208,3.43,,,-1,-1,,,0,"攻撃",4
"武器","ボーンブレード","通常","剣","片手",1,0,0,0,0,0,0,380,40,"真空斬り",122,135,-1,-1,-1,147,160,-1,-1,-1,,,,,,461.13,8.99,174.05,3.19,,,-1,-1,,,536.13,8.99,200.52,3.16,,,-1,-1,,,0,"攻撃",4
"武器","サラマンダー","通常","剣","両手",1,0,0,1,0,0,0,0,30,"牙突",32,46,-1,-1,-1,62,76,-1,-1,-1,,,,,,118.71,9.29,0,-1,,,-1,-1,,,196,9.29,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","閃光剣","通常","剣","両手",1,0,1,1,0,0,0,0,25,"真空斬り",47,61,-1,-1,-1,81,95,-1,-1,-1,,,,,,116,7.2,92,5.4,,,-1,-1,,,176,7.2,137,5.4,,,-1,-1,,,0,"攻撃",4
"武器","ゼウスの剣","通常","剣","両手",1,0,0,1,0,0,0,0,20,"牙突",56,72,-1,-1,-1,92,108,-1,-1,-1,,,,,,178.38,10.81,0,-1,,,-1,-1,,,268.38,10.81,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","クレイモア","通常","剣","両手",1,0,0,1,0,0,0,0,20,"ファイナルスラッシュ",60,85,-1,-1,-1,93,118,-1,-1,-1,,,,,,238.38,12.62,0,-1,,,-1,-1,,,343.38,12.62,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","太陽剣","通常","剣","両手",1,0,0,1,0,0,0,0,25,"烈斬",73,98,-1,-1,-1,110,135,-1,-1,-1,,,,,,255.14,12.62,0,-1,,,-1,-1,,,360.14,12.62,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","水晶の剣","通常","剣","両手",1,1,1,1,0,1,0,0,40,"ファイナルスラッシュ",89,120,-1,-1,-1,124,155,-1,-1,-1,,,,,,300.74,11.71,171.02,6.33,,,-1,-1,,,398.29,11.71,223.67,6.33,,,-1,-1,,,0,"攻撃",4
"武器","デスブレード","通常","剣","両手",0,0,0,1,0,0,0,0,35,"パワースラッシュ",104,130,52,-1,-1,135,161,68,-1,-1,,,,,,425,12.15,206,5.58,,,56,1.08,,,526.2,12.16,252.41,5.59,,,65,1.08,,,0,"攻撃魔力",4
"武器","ダークブレイカー","通常","剣","両手",1,0,0,0,0,0,0,0,40,"ファイナルスラッシュ",128,153,-1,-1,-1,163,188,-1,-1,-1,,,,,,581.56,16.22,176,4.5,,,-1,-1,,,716.56,16.22,213.46,4.54,,,-1,-1,,,0,"攻撃",4
"武器","雷神剣","通常","剣","両手",0,0,0,1,0,0,0,0,40,"ファイナルスラッシュ",140,168,-1,-1,-1,178,206,-1,-1,-1,,,,,,587,16.2,177.46,4.54,,,-1,-1,,,722,16.2,215,4.5,,,-1,-1,,,0,"攻撃",4
"武器","デイブレイク","通常","剣","両手",1,0,0,0,0,0,0,0,40,"真空斬り",182,218,-1,-1,-1,226,262,-1,-1,-1,,,,,,682.02,17.33,123.45,2.71,,,-1,-1,,,826.02,17.33,146,2.7,,,-1,-1,,,0,"攻撃",4
"武器","ソードダンサー","通常","剣","両手",0,0,0,1,0,0,0,0,40,"パワースラッシュ",109,136,54,-1,-1,137,164,68,-1,-1,,,,,,489,12.25,216.58,5.14,,,61,1.13,,,591,12.25,259.3,5.14,,,70,1.13,,,0,"攻撃魔力",4
"武器","ブラックブレード","通常","剣","両手",0,0,0,1,0,0,0,0,40,"パワースラッシュ",115,142,57.5,-1,-1,140,167,70,-1,-1,,,,,,507.1,10.45,242.42,4.79,,,70,1.13,,,594.1,10.45,282.21,4.79,,,79,1.13,,,0,"攻撃魔力",4
"武器","エクスプロージョンブレード","通常","剣","両手",0,0,0,1,0,0,0,380,45,"パワースラッシュ",127,155,67,-1,-1,153,181,80.5,-1,-1,,,,,,452.17,8.83,231.67,4.33,,,61.15,0.85,,,525.45,8.85,267.67,4.33,,,68.15,0.85,,,0,"攻撃魔力",4
"武器","アックス","通常","ハンマー","片手",1,1,1,1,1,1,1,0,20,"-",1,6,-1,-1,-1,31,36,-1,-1,-1,,,,,,21.46,4.54,0,-1,,,-1,-1,,,59,4.5,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","ハンドアックス","通常","ハンマー","片手",1,1,1,1,1,1,1,0,30,"-",4,9,-1,-1,-1,34,39,-1,-1,-1,,,,,,28.34,6.33,0,-1,,,-1,-1,,,80.69,6.33,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","バトルアックス","通常","ハンマー","片手",1,0,0,1,1,0,1,0,20,"烈斬",14,24,-1,-1,-1,44,54,-1,-1,-1,,,,,,57.78,8.11,0,-1,,,-1,-1,,,125,8.15,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","トマホーク","通常","ハンマー","片手",1,0,0,1,1,0,1,0,30,"烈斬",18,28,-1,-1,-1,48,58,-1,-1,-1,,,,,,74.13,8.99,0,-1,,,-1,-1,,,149.13,8.99,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","エルフの斧","通常","ハンマー","片手",0,1,1,1,0,1,0,0,40,"-",26,38,-1,-1,-1,56,68,-1,-1,-1,,,,,,59,4.5,74.36,6.33,,,-1,-1,,,96.46,4.54,127.01,6.33,,,-1,-1,,,0,"攻撃",4
"武器","ウォーアックス","通常","ハンマー","両手",1,0,1,1,0,0,0,0,20,"烈斬",36,44,-1,-1,-1,71,79,-1,-1,-1,,,,,,128,10.8,0,-1,,,-1,-1,,,218,10.8,0,-1,,,-1,-1,,,0,"攻撃",4
"武器","シルバーアックス","通常","ハンマー","両手",1,0,1,1,0,0,0,0,30,"烈斬",38,50,-1,-1,-1,70,82,-1,-1,-1,,,,,,152.58,11.71,0,-1,,,-1,-1,,,250,11.72,0,-1,,,-1,-1,,,0,"攻撃",4
