"skill","power","speed","uni","fen","dark","type","lv","str","agi","vit","ene","rec","job",,,,,,,"pet","weapon","attr","special"
"真空斬り",0,2,-1,-1,-1,"スキル",0,0,0,0,0,0,1,0,0,1,1,0,0,,1,,0
"烈斬",0,6,-1,-1,-1,"スキル",0,0,0,0,0,0,1,0,0,1,1,0,0,,1,,0
"牙突",0,2,-1,-1,-1,"スキル",0,0,0,0,0,0,1,0,0,1,1,0,0,,1,,0
"飛燕斬り",0,5,-1,-1,-1,"スキル",0,0,0,0,0,0,1,0,0,1,1,0,0,,1,,0
"ファイナルスラッシュ",0,3,-1,-1,-1,"スキル",0,0,0,0,0,0,1,0,0,1,0,0,0,,1,,0
"レイドショット",30,-1,2,-1,-1,"スキル",0,0,0,0,0,0,1,0,0,0,0,0,0,"ディノラント",0,,0
"トルネードクラッシュ",0,4,4,4,4,"スキル",80,0,0,0,0,0,1,0,0,1,0,0,0,,0,"風",0
"ゴッドブロー",70,1,1,1,1,"スキル",160,0,0,0,0,0,1,0,0,0,0,0,0,,0,"風",0
"オメガインパクト",60,23,23,23,23,"スキル",170,0,0,0,0,0,1,0,0,0,0,0,0,,0,"地",0
"アブソリュートゼロ",90,24,24,24,24,"スキル",220,0,0,0,0,0,1,0,0,0,0,0,0,,0,"氷",0
"トルネードクラッシュ(コンボ)",0,4,4,4,4,"スキル",80,0,0,0,0,0,1,0,0,0,0,0,0,,0,"風",7
"ゴッドブロー(コンボ)",70,1,1,1,1,"スキル",160,0,0,0,0,0,1,0,0,0,0,0,0,,0,"風",7
"オメガインパクト(コンボ)",60,23,23,23,23,"スキル",170,0,0,0,0,0,1,0,0,0,0,0,0,,0,"地",7
"デスプラント",12,7,8,9,-1,"魔法",0,0,0,0,140,0,0,1,0,1,0,0,0,,0,"毒",0
"バーニングハンマー",25,7,8,9,-1,"魔法",0,0,0,0,160,0,0,1,0,1,0,0,0,,0,"炎",0
"ストームクラッカー",40,7,8,9,-1,"魔法",0,0,0,0,180,0,0,1,0,1,0,0,0,,0,"風",0
