"item","label","kind","type","jobK","jobW","jobE","jobM","jobD","jobS","jobR","lv","speed","series","spec","exspec","setspec","str","inc","agi","inc","vit","inc","ene","inc","rec","inc","exstr","inc","exagi","inc","exvit","inc","exene","inc","exrec","inc","ex_en_type","option",
"防具","革の鎧","通常","鎧",1,0,0,1,1,0,1,0,0,"革",10,28,33,44,7.2,0,-1,,,-1,-1,,,104,7.2,0,-1,,,-1,-1,,,2,"防御",4
"防具","革のブーツ","通常","足",1,0,0,1,1,0,1,0,0,"革",2,11,14,32,7.2,0,-1,,,-1,-1,,,92,7.2,0,-1,,,-1,-1,,,2,"防御",4
"防具","革のガーダー","通常","腰",1,0,0,1,1,0,1,0,0,"革",7,22,26,39.12,7.22,0,-1,,,-1,-1,,,99.12,7.22,0,-1,,,-1,-1,,,2,"防御",4
"防具","革のグラブ","通常","手",1,0,0,1,1,0,0,0,8,"革",2,12,16,29.56,7.22,0,-1,,,-1,-1,,,89.56,7.22,0,-1,,,-1,-1,,,2,"防御",4
"防具","革の兜","通常","兜",1,0,0,1,1,0,1,0,0,"革",5,20,24,34.34,7.22,0,-1,,,-1,-1,,,94.34,7.22,0,-1,,,-1,-1,,,2,"防御",4
"防具","青銅の鎧","通常","鎧",1,0,0,1,1,0,0,0,0,"青銅",14,30,34,63.12,7.22,30.68,1.83,,,-1,-1,,,123.12,7.22,45.68,1.83,,,-1,-1,,,2,"防御",4
"防具","青銅のブーツ","通常","足",1,0,0,1,1,0,0,0,0,"青銅",4,14,18,48.78,7.22,27.19,1.81,,,-1,-1,,,108.78,7.22,42.19,1.81,,,-1,-1,,,2,"防御",4
"防具","青銅のガーダー","通常","腰",1,0,0,1,1,0,0,0,0,"青銅",10,25,29,56,7.2,29,1.8,,,-1,-1,,,116,7.2,44,1.8,,,-1,-1,,,2,"防御",4
"防具","青銅のグラブ","通常","手",1,0,0,1,1,0,0,0,4,"青銅",4,13,16,51.12,7.22,27.68,1.83,,,-1,-1,,,111.12,7.22,42.68,1.83,,,-1,-1,,,2,"防御",4
"防具","青銅の兜","通常","兜",1,0,0,1,1,0,0,0,0,"青銅",9,22,26,58.34,7.22,29.51,1.83,,,-1,-1,,,118.34,7.22,44.51,1.83,,,-1,-1,,,2,"防御",4
"防具","スケイルアーマー","通常","鎧",1,0,0,1,1,0,1,0,0,"スケイル",18,34,38,112.04,9.99,0,-1,,,-1,-1,,,194.09,9.99,0,-1,,,-1,-1,,,2,"防御",4
"防具","スケイルブーツ","通常","足",1,0,0,1,1,0,1,0,0,"スケイル",8,20,24,92.06,9.99,0,-1,,,-1,-1,,,175,9.91,0,-1,,,-1,-1,,,2,"防御",4
"防具","スケイルガーダー","通常","腰",1,0,0,1,1,0,1,0,0,"スケイル",14,29,33,102.05,9.99,0,-1,,,-1,-1,,,185,9.9,0,-1,,,-1,-1,,,2,"防御",4
"防具","スケイルグラブ","通常","手",1,0,0,1,1,0,0,0,10,"スケイル",7,18,22,92.06,9.99,0,-1,,,-1,-1,,,175.1,9.9,0,-1,,,-1,-1,,,2,"防御",4
"防具","スケイルヘルム","通常","兜",1,0,0,1,1,0,1,0,0,"スケイル",12,26,30,105.08,9.99,0,-1,,,-1,-1,,,188.03,9.99,0,-1,,,-1,-1,,,2,"防御",4
"防具","ミスリルアーマー","通常","鎧",1,0,0,1,0,0,1,0,0,"ミスリル",22,39,44,134.13,8.99,54.16,2.71,,,-1,-1,,,209.13,8.99,76.56,2.72,,,-1,-1,,,2,"防御",4
