"item","label","kind","type",,,,,,,,,,,,,,"ln"
"アクセサリ","狂戦士の氷のリング","セット","リング","AH",1,1,1,1,1,1,1,41,0,"氷","敏捷","狂戦士",0
"アクセサリ","カンタータの毒のリング","セット","リング","AH",1,1,1,1,1,1,1,37,0,"毒","体力","カンタータ",0
"アクセサリ","カンタータの風のリング","セット","リング","AH",1,1,1,1,1,1,1,64,0,"風","敏捷","カンタータ",0
"アクセサリ","ヴィシャスの地のリング","セット","リング","AH",1,1,1,1,1,1,1,58,0,"地","力","ヴィシャス",0
"アクセサリ","アポロの魔法のリング","セット","リング","最大マナ",1,1,1,1,1,1,1,67,0,"なし","エナジー","アポロ",0
"アクセサリ","アヌビスの炎のリング","セット","リング","AH",1,1,1,1,1,1,1,50,0,"炎","エナジー","アヌビス",0
"アクセサリ","セトの地のリング","セット","リング","AH",1,1,1,1,1,1,1,58,0,"地","力","セト",0
"アクセサリ","クロノの魔法のリング","セット","リング","最大マナ",1,1,1,1,1,1,1,67,0,"なし","エナジー","クロノ",0
"アクセサリ","ミュレンの炎のリング","セット","リング","AH",1,1,1,1,1,1,1,50,0,"炎","エナジー","ミュレン",0
"アクセサリ","アグニスの毒のリング","セット","リング","AH",1,1,1,1,1,1,1,37,0,"毒","体力","アグニス",0
"アクセサリ","アプルナスの稲妻のネックレス","セット","ネックレス","AH",1,1,1,1,1,1,1,41,0,"稲妻","エナジー","アプルナス",0
"アクセサリ","ガルーダの炎のネックレス","セット","ネックレス","AH",1,1,1,1,1,1,1,38,0,"炎","力","ガルーダ",0
"アクセサリ","アポロの氷のネックレス","セット","ネックレス","AH",1,1,1,1,1,1,1,54,0,"氷","力","アポロ",0
"アクセサリ","阿修羅の風のネックレス","セット","ネックレス","AH",1,1,1,1,1,1,1,62,0,"風","敏捷","阿修羅",0
"アクセサリ","ガウェインのスキルのネックレス","セット","ネックレス","最大AG",1,1,1,1,1,1,1,70,0,"なし",,"ガウェイン",0
"アクセサリ","バンガイオンの水のネックレス","セット","ネックレス","AH",1,1,1,1,1,1,1,66,0,"水","体力","バンガイオン",0
"アクセサリ","ブロイの氷のネックレス","セット","ネックレス","AH",1,1,1,1,1,1,1,54,0,"氷","力","ブロイ",0
